koen,vaegt,hoejde,alder,ryger
Mand,88,180,75,Ryger
Mand,85,180,31,Ryger ikke
Kvinde,62,166,61,Ryger
Mand,75,173,47,Ryger
Mand,75,173,32,Ryger
Kvinde,61,172,31,Ryger
Mand,83,183,43,Ryger ikke
Kvinde,73.5,172.5,35,Ryger ikke
Kvinde,59,171,33,Ryger
Kvinde,65,172,70,Ryger ikke
Kvinde,54,164,44,Ryger
Mand,83,179,53,Ryger
Kvinde,65,165,37,Ryger ikke
Mand,79,180,25,Ryger
Kvinde,59,171,27,Ryger
Mand,72,175,72,Ryger
Kvinde,45,160,80,Ryger
Kvinde,65,167,66,Ryger
Mand,70,180,29,Ryger
Kvinde,90,172,59,Ryger ikke
Kvinde,70,172,26,Ryger ikke
Kvinde,63,163,48,Ryger ikke
Kvinde,58,168,34,Ryger ikke
Kvinde,58,152,51,Ryger ikke
Mand,83,187,27,Ryger ikke
Kvinde,59,170,49,Ryger ikke
Mand,90,185,26,Ryger ikke
Mand,74,179,39,Ryger ikke
Kvinde,74,186,49,Ryger
Mand,83,176,79,Ryger ikke
Kvinde,73,158,69,Ryger
Kvinde,NA,NA,73,Ryger ikke
Mand,69,170,77,Ryger
Kvinde,60,171,21,Ryger
Mand,77,165,36,Ryger ikke
Kvinde,54,165,25,Ryger
Mand,83,190,26,Ryger ikke
Mand,80,182,25,Ryger
Mand,85,182,71,Ryger
Mand,70,182,29,Ryger
